"","","days_new"
"1","3","2020-03-08"
"2","0","2020-03-09"
"3","0","2020-03-10"
"4","0","2020-03-11"
"5","0","2020-03-12"
"6","0","2020-03-13"
"7","0","2020-03-14"
"8","2","2020-03-15"
"9","3","2020-03-16"
"10","2","2020-03-17"
"11","4","2020-03-18"
"12","3","2020-03-19"
"13","3","2020-03-20"
"14","4","2020-03-21"
"15","3","2020-03-22"
"16","6","2020-03-23"
"17","6","2020-03-24"
"18","0","2020-03-25"
"19","5","2020-03-26"
"20","4","2020-03-27"
"21","0","2020-03-28"
"22","0","2020-03-29"
"23","1","2020-03-30"
"24","2","2020-03-31"
"25","3","2020-04-01"
"26","2","2020-04-02"
"27","5","2020-04-03"
"28","9","2020-04-04"
"29","18","2020-04-05"
"30","35","2020-04-06"
"31","41","2020-04-07"
"32","54","2020-04-08"
"33","112","2020-04-09"
"34","94","2020-04-10"
"35","443","2020-04-11"
"36","143","2020-04-12"
"37","156","2020-04-13"
"38","177","2020-04-14"
"39","144","2020-04-15"
"40","266","2020-04-16"
"41","235","2020-04-17"
"42","283","2020-04-18"
"43","287","2020-04-19"
"44","453","2020-04-20"
"45","240","2020-04-21"
"46","391","2020-04-22"
"47","360","2020-04-23"
"48","483","2020-04-24"
"49","293","2020-04-25"
"50","408","2020-04-26"
"51","824","2020-04-27"
