"cases","dt"
"3","2020-03-08"
"0","2020-03-09"
"0","2020-03-10"
"0","2020-03-11"
"0","2020-03-12"
"0","2020-03-13"
"0","2020-03-14"
"2","2020-03-15"
"3","2020-03-16"
"2","2020-03-17"
"4","2020-03-18"
"3","2020-03-19"
"3","2020-03-20"
"5","2020-03-21"
"2","2020-03-22"
"6","2020-03-23"
"6","2020-03-24"
"0","2020-03-25"
"5","2020-03-26"
"4","2020-03-27"
"0","2020-03-28"
"0","2020-03-29"
"1","2020-03-30"
"2","2020-03-31"
"3","2020-04-01"
"2","2020-04-02"
"5","2020-04-03"
"9","2020-04-04"
"18","2020-04-05"
"35","2020-04-06"
"41","2020-04-07"
"54","2020-04-08"
"112","2020-04-09"
"94","2020-04-10"
"58","2020-04-11"
"139","2020-04-12"
"182","2020-04-13"
"209","2020-04-14"
"219","2020-04-15"
"341","2020-04-16"
"266","2020-04-17"
"306","2020-04-18"
"312","2020-04-19"
"492","2020-04-20"
"434","2020-04-21"
"390","2020-04-22"
"414","2020-04-23"
"503","2020-04-24"
"309","2020-04-25"
"418","2020-04-26"
"497","2020-04-27"
"549","2020-04-28"
"641","2020-04-29"
"564","2020-04-30"
"571","2020-05-01"
"552","2020-05-02"
"665","2020-05-03"
"688","2020-05-04"
"786","2020-05-05"
"790","2020-05-06"
"706","2020-05-07"
"709","2020-05-08"
"636","2020-05-09"
"887","2020-05-10"
"1034","2020-05-11"
"969","2020-05-12"
"1162","2020-05-13"
"1041","2020-05-14"
"1202","2020-05-15"
"930","2020-05-16"
"1273","2020-05-17"
"1602","2020-05-18"
"1251","2020-05-19"
"1617","2020-05-20"
"1773","2020-05-21"
"1694","2020-05-22"
"1873","2020-05-23"
"1532","2020-05-24"
"1975","2020-05-25"
"1166","2020-05-26"
"1541","2020-05-27"
"2029","2020-05-28"
"2523","2020-05-29"
"1764","2020-05-30"
"2545","2020-05-31"
"2381","2020-06-01"
"2911","2020-06-02"
"2695","2020-06-03"
"2423","2020-06-04"
"2828","2020-06-05"
"2635","2020-06-06"
"2743","2020-06-07"
"2735","2020-06-08"
"3171","2020-06-09"
"3190","2020-06-10"
"3187","2020-06-11"
"3471","2020-06-12"
"2856","2020-06-13"
"3141","2020-06-14"
"3099","2020-06-15"
"3862","2020-06-16"
"4008","2020-06-17"
"3803","2020-06-18"
"3243","2020-06-19"
"3240","2020-06-20"
"3531","2020-06-21"
"3480","2020-06-22"
"3412","2020-06-23"
"3462","2020-06-24"
"3946","2020-06-25"
"3868","2020-06-26"
"3504","2020-06-27"
"3809","2020-06-28"
"4014","2020-06-29"
"3682","2020-06-30"
"3775","2020-07-01"
"4019","2020-07-02"
"3114","2020-07-03"
"3288","2020-07-04"
"2738","2020-07-05"
"3201","2020-07-06"
"3027","2020-07-07"
"3489","2020-07-08"
"3360","2020-07-09"
"2949","2020-07-10"
"2686","2020-07-11"
"2666","2020-07-12"
"3099","2020-07-13"
"3163","2020-07-14"
"3533","2020-07-15"
"2733","2020-07-16"
"3034","2020-07-17"
"2709","2020-07-18"
"2459","2020-07-19"
"2928","2020-07-20"
