"","cases","dt"
"1",11,"2020-03-08"
"2",0,"2020-03-09"
"3",0,"2020-03-10"
"4",0,"2020-03-11"
"5",0,"2020-03-12"
"6",0,"2020-03-13"
"7",0,"2020-03-14"
"8",7,"2020-03-15"
"9",11,"2020-03-16"
"10",7,"2020-03-17"
"11",15,"2020-03-18"
"12",11,"2020-03-19"
"13",11,"2020-03-20"
"14",18,"2020-03-21"
"15",7,"2020-03-22"
"16",22,"2020-03-23"
"17",22,"2020-03-24"
"18",0,"2020-03-25"
"19",18,"2020-03-26"
"20",15,"2020-03-27"
"21",0,"2020-03-28"
"22",0,"2020-03-29"
"23",4,"2020-03-30"
"24",7,"2020-03-31"
"25",11,"2020-04-01"
"26",7,"2020-04-02"
"27",18,"2020-04-03"
"28",33,"2020-04-04"
"29",66,"2020-04-05"
"30",128,"2020-04-06"
"31",150,"2020-04-07"
"32",198,"2020-04-08"
"33",410,"2020-04-09"
"34",344,"2020-04-10"
"35",212,"2020-04-11"
"36",509,"2020-04-12"
"37",666,"2020-04-13"
"38",765,"2020-04-14"
"39",802,"2020-04-15"
"40",1248,"2020-04-16"
"41",974,"2020-04-17"
"42",1120,"2020-04-18"
"43",1142,"2020-04-19"
"44",1801,"2020-04-20"
"45",1588,"2020-04-21"
"46",1427,"2020-04-22"
"47",1515,"2020-04-23"
"48",1841,"2020-04-24"
"49",1131,"2020-04-25"
"50",1530,"2020-04-26"
"51",1819,"2020-04-27"
"52",2009,"2020-04-28"
"53",2346,"2020-04-29"
"54",2064,"2020-04-30"
"55",2090,"2020-05-01"
"56",2020,"2020-05-02"
"57",2434,"2020-05-03"
"58",2518,"2020-05-04"
"59",2877,"2020-05-05"
"60",2891,"2020-05-06"
"61",2584,"2020-05-07"
"62",2595,"2020-05-08"
"63",2328,"2020-05-09"
"64",3246,"2020-05-10"
"65",3784,"2020-05-11"
"66",3547,"2020-05-12"
"67",4253,"2020-05-13"
"68",3810,"2020-05-14"
"69",4399,"2020-05-15"
"70",3404,"2020-05-16"
"71",4659,"2020-05-17"
"72",5863,"2020-05-18"
"73",4579,"2020-05-19"
"74",5918,"2020-05-20"
"75",6489,"2020-05-21"
"76",6200,"2020-05-22"
"77",6855,"2020-05-23"
"78",5607,"2020-05-24"
"79",7228,"2020-05-25"
"80",4268,"2020-05-26"
"81",5640,"2020-05-27"
"82",7426,"2020-05-28"
"83",9234,"2020-05-29"
"84",6456,"2020-05-30"
"85",9315,"2020-05-31"
"86",8714,"2020-06-01"
"87",10654,"2020-06-02"
"88",9864,"2020-06-03"
"89",8868,"2020-06-04"
"90",10350,"2020-06-05"
"91",9644,"2020-06-06"
"92",10039,"2020-06-07"
"93",10010,"2020-06-08"
"94",11606,"2020-06-09"
"95",11675,"2020-06-10"
"96",11664,"2020-06-11"
"97",12704,"2020-06-12"
"98",10453,"2020-06-13"
"99",11496,"2020-06-14"
"100",11342,"2020-06-15"
"101",14135,"2020-06-16"
"102",14669,"2020-06-17"
"103",13919,"2020-06-18"
"104",11869,"2020-06-19"
"105",11858,"2020-06-20"
"106",12923,"2020-06-21"
"107",12737,"2020-06-22"
"108",12488,"2020-06-23"
"109",12671,"2020-06-24"
"110",14442,"2020-06-25"
"111",14157,"2020-06-26"
"112",12825,"2020-06-27"
"113",13941,"2020-06-28"
"114",14691,"2020-06-29"
"115",13476,"2020-06-30"
"116",13816,"2020-07-01"
"117",14710,"2020-07-02"
"118",11397,"2020-07-03"
"119",12034,"2020-07-04"
"120",10021,"2020-07-05"
"121",11716,"2020-07-06"
"122",11079,"2020-07-07"
"123",12770,"2020-07-08"
"124",12298,"2020-07-09"
"125",10793,"2020-07-10"
"126",9831,"2020-07-11"
"127",9758,"2020-07-12"
"128",11342,"2020-07-13"
"129",11577,"2020-07-14"
"130",12931,"2020-07-15"
"131",10003,"2020-07-16"
"132",11104,"2020-07-17"
"133",9915,"2020-07-18"
"134",9000,"2020-07-19"
"135",10716,"2020-07-20"
